frequency_Hz,sound_speed_m_s,phase_rad,offset_a,scale_b,mse
170,343.0,5.301437602932776,-0.8451471025677657,1.8472155312781635,0.011847381969882997
255,343.0,0.8299040593233036,-0.21384566467923344,1.2582246221820736,0.0070906734818433625
343,343.0,6.251769380643688,-0.0697521176046168,1.1445343248891056,0.0009449664045803643
425,343.0,5.497787143782138,-0.08586533248544485,1.1122971869921743,0.0004529397856378759
510,343.0,4.790928796724434,-0.08892492185772595,1.1060519806740128,0.0016137972962054499
680,343.0,0.005235987755982988,-0.097228838510122,1.1218003182942322,0.0011266509686173344
