,1 cm,2 cm,3 cm,4 cm,5 cm,6 cm,7 cm,8 cm,9 cm,10 cm,11 cm,12 cm,13 cm,14 cm,15 cm,16 cm,17 cm,18 cm,19 cm,20 cm,21 cm,22 cm,23 cm,24 cm,25 cm,26 cm,27 cm,28 cm,29 cm,30 cm,31 cm,32 cm,33 cm,34 cm,35 cm,36 cm,37 cm,38 cm,39 cm,40 cm,41 cm,42 cm,43 cm
170 Hz,0.0112429386334442,0.0313255341777047,0.1062692504247179,0.2454938467700722,0.3861686993273573,0.5413737379317966,0.6692172760044751,0.688153478543114,0.7585392466954877,0.7702103562105496,0.747075316639273,0.8354166378917419,0.8519495587077527,0.8298780403585586,0.8293255618016326,0.9175011394870236,0.8450021408544081,0.8514523280065193,0.8285520918219361,0.8455546194113341,0.8515351997900581,0.8307067581939477,0.849408157345893,0.866963163492217,0.8750569743511829,0.8757613845112636,0.9273628817281528,0.922666813994282,0.92708664244969,0.922404386679742,0.8763000511042666,0.9372798718249749,0.9502769298766592,0.9550006215383764,0.9867405146337758,0.9839643098852224,0.9881631469178604,0.9874587367577796,0.9893924117070206,0.9933288214251184,1.0,0.9979143934476044,0.9886603776190936
255 Hz,0.5472867086992966,0.5223586865410548,0.4667990815991837,0.4203505958671963,0.3526185356609206,0.2709829075403623,0.1984583986296876,0.1141987681766828,0.0966871970552862,0.0835307409162141,0.0483982652429024,0.037537811144721,0.0266226903312802,0.0194613506323116,0.0098400087466744,0.0059768942016837,0.0048835598964976,0.0079448959510186,0.0141404570137395,0.0181129049892488,0.0244177994824884,0.0336018076460512,0.0504573781843361,0.0913480811982944,0.1469076861401654,0.1845730529538248,0.2720944640839681,0.3402456357738985,0.4620248551332046,0.6385254564670725,0.6959072852509203,0.7200153066802726,0.7697073508509785,0.7935602609424542,0.8584982445910323,0.9234362282396104,0.9883742118881884,0.9874448777287802,0.9512737344655418,1.0,0.9912168810816722,0.9926928823936734,0.9941688837056746
343 Hz,0.9956577266922094,0.9996168582375478,1.0,0.9963104867319428,0.992947353483752,0.9842769973038172,0.9769831133815808,0.963530580388818,0.9447140627217256,0.9249042145593868,0.8931460195828012,0.8594295444870157,0.809252164041436,0.7502767134951043,0.6700439903505038,0.5810699588477366,0.4940542074641691,0.4222506030935149,0.3422733077905491,0.2762594011636157,0.2027245636441038,0.1328792393926493,0.0801191996594295,0.0386547467007237,0.0145310061018873,0.0190435646374343,0.0518234709805591,0.0901660280970625,0.1527458492975734,0.2226195544203207,0.2993898112672059,0.3721299843905207,0.4340286646800056,0.5101177806158649,0.5855257556406981,0.6545764154959557,0.7070242656449552,0.7640130552007945,0.8219667943805874,0.8735915992620973,0.89870867035618,0.9262948772527316,0.951440329218107
425 Hz,0.7355106062362351,0.8335458444418685,0.8849976816969978,0.91506317375681,0.950330358177814,0.9703691897531008,0.9810913411382868,0.9911180016228122,1.0,0.999261040918048,0.9981308682044744,0.9942187318882578,0.9882635910513504,0.9728613654804684,0.9539816854062826,0.9276689463312856,0.8994580966732352,0.8619450562188479,0.8066100614350297,0.7447258606699896,0.6648458328503536,0.5787788338935899,0.4987828909238437,0.4013706966500521,0.3257650399907268,0.2327721108148835,0.1550075344847571,0.0941086124956532,0.0404254086009041,0.0123594528804914,0.0249217572736756,0.06434739770488,0.1326359105135041,0.2079372899037904,0.289816854062826,0.3691317955256752,0.4487075460762722,0.5403819404196128,0.6049466790309493,0.6885649704416368,0.7616784513735945,0.823475715776052,0.8666396197983077
510 Hz,0.0395076239919025,0.1577692885362588,0.258464753322232,0.3461977993273908,0.4548764162340419,0.5758481078786692,0.645770072158553,0.7427759819766873,0.8352270872106312,0.8979331961994319,0.9288536258856566,0.962337153492017,0.9752505958794528,0.998726613772162,0.9958533320272962,1.0,0.980572697293238,0.9590557351356648,0.9338165670813336,0.8979168707349724,0.8684494073856402,0.8188363208933295,0.7640970385607472,0.7059294086916773,0.6419172625461195,0.5582329317269077,0.4748098083390472,0.3980148235217292,0.3045188885623796,0.2101250530577595,0.1193391451986809,0.0590165540209619,0.0202925523231135,0.0349038430143337,0.0995526822738106,0.1823554380122114,0.2856956280406177,0.4179318901622751,0.5208476181147355,0.6207431351421948,0.7335684200215496,0.8159793646129233,0.9729487053906684
680 Hz,0.9957010064200202,0.9793021964725476,0.955800082563453,0.912354624265114,0.8577630998306026,0.7587011914760352,0.617916269270737,0.4452305370894959,0.3017124798929522,0.200643425529189,0.0771541231903657,0.0198579339207675,0.0416233683041751,0.1205426411763868,0.2201170123418127,0.3401044854731028,0.456846360802289,0.5788552150208544,0.7036826146991416,0.8098478270153311,0.8903329584762772,0.9334083047445516,0.96636251049837,0.9785192671781804,0.990078150578656,1.0,0.9916867144016284,0.9770388190579226,0.9503480476590416,0.8896781448846247,0.8131788352859115,0.6738885962789506,0.5691753619268601,0.3976569061481302,0.2497829150592891,0.1022220956881948,0.0287263875642357,0.0222778971942661,0.0822929863770302,0.1802730287975629,0.3031929280132102,0.4407607225725633,0.5948269726259449
