elapsed_s,amplitude,range,status,raw_line
0.735,115.08,338,OK,115.08 | 338 | OK
1.047,115.13,339,OK,115.13 | 339 | OK
1.344,115.2,345,OK,115.20 | 345 | OK
1.641,115.18,340,OK,115.18 | 340 | OK
1.938,115.15,335,OK,115.15 | 335 | OK
2.250,115.25,340,OK,115.25 | 340 | OK
2.547,115.47,341,OK,115.47 | 341 | OK
2.844,115.32,341,OK,115.32 | 341 | OK
3.141,115.36,341,OK,115.36 | 341 | OK
3.438,115.32,339,OK,115.32 | 339 | OK
3.750,115.37,345,OK,115.37 | 345 | OK
4.047,115.51,342,OK,115.51 | 342 | OK
4.344,115.37,343,OK,115.37 | 343 | OK
4.641,115.43,341,OK,115.43 | 341 | OK
4.953,115.56,339,OK,115.56 | 339 | OK
5.250,115.82,341,OK,115.82 | 341 | OK
