elapsed_s,amplitude,range,status,raw_line
0.735,336.04,739,OK,336.04 | 739 | OK
1.031,335.91,738,OK,335.91 | 738 | OK
1.344,335.91,742,OK,335.91 | 742 | OK
1.641,334.76,741,OK,334.76 | 741 | OK
1.938,328.58,728,OK,328.58 | 728 | OK
2.235,329.01,729,OK,329.01 | 729 | OK
2.547,327.07,723,OK,327.07 | 723 | OK
2.844,327.18,735,OK,327.18 | 735 | OK
3.141,332.81,736,OK,332.81 | 736 | OK
3.438,326.15,721,OK,326.15 | 721 | OK
3.750,326.32,720,OK,326.32 | 720 | OK
4.047,327.77,724,OK,327.77 | 724 | OK
4.344,328.75,727,OK,328.75 | 727 | OK
4.641,328.37,732,OK,328.37 | 732 | OK
4.953,328.11,740,OK,328.11 | 740 | OK
5.250,327.07,735,OK,327.07 | 735 | OK
5.547,336.51,741,OK,336.51 | 741 | OK
5.844,336.57,740,OK,336.57 | 740 | OK
6.156,336.43,740,OK,336.43 | 740 | OK
6.453,336.58,743,OK,336.58 | 743 | OK
6.750,336.7,742,OK,336.70 | 742 | OK
7.047,336.73,741,OK,336.73 | 741 | OK
7.360,336.72,742,OK,336.72 | 742 | OK
7.656,336.7,743,OK,336.70 | 743 | OK
7.953,336.59,741,OK,336.59 | 741 | OK
8.250,336.45,741,OK,336.45 | 741 | OK
8.563,336.3,741,OK,336.30 | 741 | OK
8.860,336.22,740,OK,336.22 | 740 | OK
9.156,335.75,740,OK,335.75 | 740 | OK
9.453,335.47,738,OK,335.47 | 738 | OK
9.766,335.28,737,OK,335.28 | 737 | OK
10.063,335.21,738,OK,335.21 | 738 | OK
