elapsed_s,amplitude,range,status,raw_line
0.735,349.65,883,OK,349.65 | 883 | OK
1.032,349.7,882,OK,349.70 | 882 | OK
1.329,349.72,882,OK,349.72 | 882 | OK
1.641,349.72,882,OK,349.72 | 882 | OK
1.938,349.79,885,OK,349.79 | 885 | OK
2.235,349.77,883,OK,349.77 | 883 | OK
2.547,349.71,883,OK,349.71 | 883 | OK
2.844,349.73,883,OK,349.73 | 883 | OK
3.141,349.74,884,OK,349.74 | 884 | OK
3.438,349.69,884,OK,349.69 | 884 | OK
3.735,349.84,883,OK,349.84 | 883 | OK
4.047,349.7,884,OK,349.70 | 884 | OK
4.344,349.75,882,OK,349.75 | 882 | OK
4.641,349.74,884,OK,349.74 | 884 | OK
4.938,349.81,883,OK,349.81 | 883 | OK
5.235,350,884,OK,350.00 | 884 | OK
