elapsed_s,amplitude,range,status,raw_line
0.734,80.34,230,OK,80.34 | 230 | OK
1.031,80.22,233,OK,80.22 | 233 | OK
1.328,80.25,232,OK,80.25 | 232 | OK
1.625,80.32,229,OK,80.32 | 229 | OK
1.938,80.25,230,OK,80.25 | 230 | OK
2.234,80.31,227,OK,80.31 | 227 | OK
2.531,80.44,230,OK,80.44 | 230 | OK
2.844,80.84,233,OK,80.84 | 233 | OK
3.125,80.83,233,OK,80.83 | 233 | OK
3.438,80.6,234,OK,80.60 | 234 | OK
3.734,80.33,231,OK,80.33 | 231 | OK
4.031,80.3,227,OK,80.30 | 227 | OK
4.344,80.3,229,OK,80.30 | 229 | OK
4.641,80.31,232,OK,80.31 | 232 | OK
4.938,80.37,232,OK,80.37 | 232 | OK
5.234,80.39,233,OK,80.39 | 233 | OK
