elapsed_s,amplitude,range,status,raw_line
0.735,343.85,872,OK,343.85 | 872 | OK
1.032,344.16,871,OK,344.16 | 871 | OK
1.344,343.46,870,OK,343.46 | 870 | OK
1.641,344.1,870,OK,344.10 | 870 | OK
1.938,344.23,872,OK,344.23 | 872 | OK
2.235,344.04,871,OK,344.04 | 871 | OK
2.547,343.5,871,OK,343.50 | 871 | OK
2.844,343.43,869,OK,343.43 | 869 | OK
3.141,343.1,869,OK,343.10 | 869 | OK
3.438,343.07,869,OK,343.07 | 869 | OK
3.735,343.21,871,OK,343.21 | 871 | OK
4.047,343.55,869,OK,343.55 | 869 | OK
4.344,343.01,868,OK,343.01 | 868 | OK
4.641,343.85,872,OK,343.85 | 872 | OK
4.953,344.32,871,OK,344.32 | 871 | OK
5.250,344.14,871,OK,344.14 | 871 | OK
