elapsed_s,amplitude,range,status,raw_line
0.735,154.62,430,OK,154.62 | 430 | OK
1.032,154.68,427,OK,154.68 | 427 | OK
1.328,154.79,420,OK,154.79 | 420 | OK
1.625,155.02,431,OK,155.02 | 431 | OK
1.938,154.92,424,OK,154.92 | 424 | OK
2.235,154.76,425,OK,154.76 | 425 | OK
2.532,154.66,426,OK,154.66 | 426 | OK
2.828,154.75,423,OK,154.75 | 423 | OK
3.141,154.75,424,OK,154.75 | 424 | OK
3.438,154.82,427,OK,154.82 | 427 | OK
3.735,154.98,424,OK,154.98 | 424 | OK
4.032,154.86,424,OK,154.86 | 424 | OK
4.328,155.07,425,OK,155.07 | 425 | OK
4.641,155,421,OK,155.00 | 421 | OK
4.938,155.07,424,OK,155.07 | 424 | OK
5.235,155.12,429,OK,155.12 | 429 | OK
