elapsed_s,amplitude,range,status,raw_line
0.734,176.31,478,OK,176.31 | 478 | OK
1.046,176.59,484,OK,176.59 | 484 | OK
1.343,176.37,489,OK,176.37 | 489 | OK
1.640,176.37,481,OK,176.37 | 481 | OK
1.937,176.36,485,OK,176.36 | 485 | OK
2.234,176.3,486,OK,176.30 | 486 | OK
2.546,176.26,482,OK,176.26 | 482 | OK
2.843,176.18,480,OK,176.18 | 480 | OK
3.140,176.17,487,OK,176.17 | 487 | OK
3.437,176.08,486,OK,176.08 | 486 | OK
3.734,176.28,475,OK,176.28 | 475 | OK
4.046,176.82,490,OK,176.82 | 490 | OK
4.343,176.79,490,OK,176.79 | 490 | OK
4.656,176.7,479,OK,176.70 | 479 | OK
4.953,176.45,485,OK,176.45 | 485 | OK
5.250,176.4,484,OK,176.40 | 484 | OK
