elapsed_s,amplitude,range,status,raw_line
0.735,315.78,702,OK,315.78 | 702 | OK
1.032,315.43,702,OK,315.43 | 702 | OK
1.344,315.38,702,OK,315.38 | 702 | OK
1.641,315.31,700,OK,315.31 | 700 | OK
1.938,315.59,705,OK,315.59 | 705 | OK
2.235,315.71,703,OK,315.71 | 703 | OK
2.547,315.53,701,OK,315.53 | 701 | OK
2.844,316.73,707,OK,316.73 | 707 | OK
3.141,316.2,703,OK,316.20 | 703 | OK
3.438,316.19,705,OK,316.19 | 705 | OK
3.750,316.06,703,OK,316.06 | 703 | OK
4.047,315.82,702,OK,315.82 | 702 | OK
4.344,316.66,703,OK,316.66 | 703 | OK
4.641,316.83,705,OK,316.83 | 705 | OK
4.938,317.01,705,OK,317.01 | 705 | OK
5.250,316.8,704,OK,316.80 | 704 | OK
5.547,316.77,703,OK,316.77 | 703 | OK
5.844,316.75,704,OK,316.75 | 704 | OK
6.141,316.61,704,OK,316.61 | 704 | OK
6.453,316.81,704,OK,316.81 | 704 | OK
6.750,316.92,704,OK,316.92 | 704 | OK
7.047,316.78,704,OK,316.78 | 704 | OK
7.344,316.81,706,OK,316.81 | 706 | OK
7.657,316.9,705,OK,316.90 | 705 | OK
7.953,316.94,705,OK,316.94 | 705 | OK
8.250,316.89,704,OK,316.89 | 704 | OK
8.547,316.83,704,OK,316.83 | 704 | OK
8.860,317.17,706,OK,317.17 | 706 | OK
9.157,316.92,705,OK,316.92 | 705 | OK
9.453,317.14,705,OK,317.14 | 705 | OK
9.750,317.18,705,OK,317.18 | 705 | OK
10.063,317.06,704,OK,317.06 | 704 | OK
