elapsed_s,amplitude,range,status,raw_line
0.734,328.09,841,OK,328.09 | 841 | OK
1.031,328.06,841,OK,328.06 | 841 | OK
1.343,328.03,841,OK,328.03 | 841 | OK
1.640,327.77,842,OK,327.77 | 842 | OK
1.937,327.74,840,OK,327.74 | 840 | OK
2.250,327.49,841,OK,327.49 | 841 | OK
2.546,327.53,841,OK,327.53 | 841 | OK
2.843,327.62,841,OK,327.62 | 841 | OK
3.140,327.58,841,OK,327.58 | 841 | OK
3.437,327.57,840,OK,327.57 | 840 | OK
3.750,327.85,842,OK,327.85 | 842 | OK
4.046,328.11,844,OK,328.11 | 844 | OK
4.343,328.31,841,OK,328.31 | 841 | OK
4.640,328.21,843,OK,328.21 | 843 | OK
4.953,328.23,841,OK,328.23 | 841 | OK
5.250,328.42,841,OK,328.42 | 841 | OK
