elapsed_s,amplitude,range,status,raw_line
0.719,348.17,882,OK,348.17 | 882 | OK
1.031,348.47,880,OK,348.47 | 880 | OK
1.344,348.31,881,OK,348.31 | 881 | OK
1.641,348.37,882,OK,348.37 | 882 | OK
1.937,348.1,878,OK,348.10 | 878 | OK
2.234,348.32,878,OK,348.32 | 878 | OK
2.531,348.19,879,OK,348.19 | 879 | OK
2.844,348.22,879,OK,348.22 | 879 | OK
3.141,348.18,879,OK,348.18 | 879 | OK
3.437,348.33,880,OK,348.33 | 880 | OK
3.734,348.46,879,OK,348.46 | 879 | OK
4.047,348.39,880,OK,348.39 | 880 | OK
4.344,348.36,879,OK,348.36 | 879 | OK
4.641,348.34,880,OK,348.34 | 880 | OK
4.937,348.15,878,OK,348.15 | 878 | OK
5.234,348.38,880,OK,348.38 | 880 | OK
