elapsed_s,amplitude,range,status,raw_line
0.735,4.74,25,OK,4.74 | 25 | OK
1.032,9.32,49,OK,9.32 | 49 | OK
1.344,6.93,46,OK,6.93 | 46 | OK
1.641,8.95,62,OK,8.95 | 62 | OK
1.938,12.02,64,OK,12.02 | 64 | OK
2.235,15.2,97,OK,15.20 | 97 | OK
2.532,5.01,21,OK,5.01 | 21 | OK
2.844,4.87,18,OK,4.87 | 18 | OK
3.141,4.87,18,OK,4.87 | 18 | OK
3.438,4.84,19,OK,4.84 | 19 | OK
3.750,4.91,19,OK,4.91 | 19 | OK
4.047,4.97,21,OK,4.97 | 21 | OK
4.344,4.87,18,OK,4.87 | 18 | OK
4.641,5.3,24,OK,5.30 | 24 | OK
4.953,4.92,18,OK,4.92 | 18 | OK
5.250,4.97,21,OK,4.97 | 21 | OK
