elapsed_s,amplitude,range,status,raw_line
0.735,30.39,103,OK,30.39 | 103 | OK
1.031,30.49,106,OK,30.49 | 106 | OK
1.328,30.41,103,OK,30.41 | 103 | OK
1.641,30.36,103,OK,30.36 | 103 | OK
1.938,30.49,106,OK,30.49 | 106 | OK
2.235,30.54,102,OK,30.54 | 102 | OK
2.531,30.62,107,OK,30.62 | 107 | OK
2.828,30.47,106,OK,30.47 | 106 | OK
3.141,30.6,114,OK,30.60 | 114 | OK
3.438,30.66,109,OK,30.66 | 109 | OK
3.735,30.56,108,OK,30.56 | 108 | OK
4.047,30.51,107,OK,30.51 | 107 | OK
4.328,30.41,105,OK,30.41 | 105 | OK
4.641,30.39,103,OK,30.39 | 103 | OK
4.938,30.45,102,OK,30.45 | 102 | OK
5.235,30.6,106,OK,30.60 | 106 | OK
