elapsed_s,amplitude,range,status,raw_line
0.734,127.94,376,OK,127.94 | 376 | OK
1.047,127.97,371,OK,127.97 | 371 | OK
1.343,127.88,376,OK,127.88 | 376 | OK
1.640,128.16,377,OK,128.16 | 377 | OK
1.937,127.95,370,OK,127.95 | 370 | OK
2.250,128.05,375,OK,128.05 | 375 | OK
2.547,128.14,374,OK,128.14 | 374 | OK
2.843,128.05,372,OK,128.05 | 372 | OK
3.140,128.08,384,OK,128.08 | 384 | OK
3.453,128.15,374,OK,128.15 | 374 | OK
3.750,128.06,372,OK,128.06 | 372 | OK
4.047,128.22,374,OK,128.22 | 374 | OK
4.343,128.09,372,OK,128.09 | 372 | OK
4.656,128.24,369,OK,128.24 | 369 | OK
4.953,128.15,373,OK,128.15 | 373 | OK
5.250,128.21,374,OK,128.21 | 374 | OK
