elapsed_s,amplitude,range,status,raw_line
0.735,28.16,91,OK,28.16 | 91 | OK
1.031,28.2,91,OK,28.20 | 91 | OK
1.328,28.18,90,OK,28.18 | 90 | OK
1.625,28.19,92,OK,28.19 | 92 | OK
1.922,28.23,89,OK,28.23 | 89 | OK
2.235,28.22,92,OK,28.22 | 92 | OK
2.531,28.43,105,OK,28.43 | 105 | OK
2.828,29.67,119,OK,29.67 | 119 | OK
3.125,28.51,97,OK,28.51 | 97 | OK
3.422,28.38,95,OK,28.38 | 95 | OK
3.735,28.45,95,OK,28.45 | 95 | OK
4.031,29,115,OK,29.00 | 115 | OK
4.328,28.28,92,OK,28.28 | 92 | OK
4.641,28.28,90,OK,28.28 | 90 | OK
4.938,28.26,88,OK,28.26 | 88 | OK
5.235,28.21,92,OK,28.21 | 92 | OK
5.531,28.19,90,OK,28.19 | 90 | OK
5.844,28.23,90,OK,28.23 | 90 | OK
6.141,28.21,91,OK,28.21 | 91 | OK
