elapsed_s,amplitude,range,status,raw_line
0.734,316.98,705,OK,316.98 | 705 | OK
1.047,316.74,703,OK,316.74 | 703 | OK
1.344,316.76,704,OK,316.76 | 704 | OK
1.641,316.73,703,OK,316.73 | 703 | OK
1.938,317.02,703,OK,317.02 | 703 | OK
2.250,316.94,704,OK,316.94 | 704 | OK
2.547,316.97,705,OK,316.97 | 705 | OK
2.844,316.8,704,OK,316.80 | 704 | OK
3.141,317.13,705,OK,317.13 | 705 | OK
3.453,316.94,704,OK,316.94 | 704 | OK
3.750,317.19,705,OK,317.19 | 705 | OK
4.047,317.04,704,OK,317.04 | 704 | OK
4.344,316.69,702,OK,316.69 | 702 | OK
4.641,317,703,OK,317.00 | 703 | OK
4.953,316.88,703,OK,316.88 | 703 | OK
5.250,316.95,704,OK,316.95 | 704 | OK
5.547,317.22,703,OK,317.22 | 703 | OK
5.859,316.98,704,OK,316.98 | 704 | OK
6.156,317.15,704,OK,317.15 | 704 | OK
6.453,316.93,707,OK,316.93 | 707 | OK
6.750,317.24,704,OK,317.24 | 704 | OK
7.063,317,704,OK,317.00 | 704 | OK
7.359,317.4,707,OK,317.40 | 707 | OK
7.656,317.25,707,OK,317.25 | 707 | OK
7.953,317.43,705,OK,317.43 | 705 | OK
8.266,317.34,705,OK,317.34 | 705 | OK
8.563,317.29,706,OK,317.29 | 706 | OK
8.859,317.23,705,OK,317.23 | 705 | OK
9.156,317.33,704,OK,317.33 | 704 | OK
9.453,317.29,705,OK,317.29 | 705 | OK
9.766,317.31,707,OK,317.31 | 707 | OK
10.063,317.51,705,OK,317.51 | 705 | OK
