elapsed_s,amplitude,range,status,raw_line
0.734,296.87,667,OK,296.87 | 667 | OK
1.047,297.27,668,OK,297.27 | 668 | OK
1.328,297.47,669,OK,297.47 | 669 | OK
1.640,298.09,670,OK,298.09 | 670 | OK
1.937,298.93,671,OK,298.93 | 671 | OK
2.250,299.19,672,OK,299.19 | 672 | OK
2.547,299.4,673,OK,299.40 | 673 | OK
2.843,299.19,670,OK,299.19 | 670 | OK
3.140,299.22,673,OK,299.22 | 673 | OK
3.437,299.51,671,OK,299.51 | 671 | OK
3.750,299.39,672,OK,299.39 | 672 | OK
4.047,301.15,677,OK,301.15 | 677 | OK
4.343,301.65,678,OK,301.65 | 678 | OK
4.640,302.16,681,OK,302.16 | 681 | OK
4.953,302.34,681,OK,302.34 | 681 | OK
5.250,302.28,679,OK,302.28 | 679 | OK
5.547,302.23,679,OK,302.23 | 679 | OK
5.843,302.14,679,OK,302.14 | 679 | OK
6.140,302.28,678,OK,302.28 | 678 | OK
6.453,302.53,680,OK,302.53 | 680 | OK
6.750,302.26,678,OK,302.26 | 678 | OK
7.047,302.51,679,OK,302.51 | 679 | OK
7.359,303.49,683,OK,303.49 | 683 | OK
7.656,304.42,683,OK,304.42 | 683 | OK
7.953,299.99,676,OK,299.99 | 676 | OK
8.250,299.93,673,OK,299.93 | 673 | OK
8.562,300.26,673,OK,300.26 | 673 | OK
8.859,300.19,674,OK,300.19 | 674 | OK
9.156,300.72,674,OK,300.72 | 674 | OK
9.453,300.78,675,OK,300.78 | 675 | OK
9.765,300.77,675,OK,300.77 | 675 | OK
10.062,300.72,675,OK,300.72 | 675 | OK
