elapsed_s,amplitude,range,status,raw_line
0.734,206.29,559,OK,206.29 | 559 | OK
1.031,206.28,561,OK,206.28 | 561 | OK
1.328,206.22,559,OK,206.22 | 559 | OK
1.625,206.45,563,OK,206.45 | 563 | OK
1.937,206.31,559,OK,206.31 | 559 | OK
2.234,205.9,560,OK,205.90 | 560 | OK
2.531,205.78,556,OK,205.78 | 556 | OK
2.828,206.16,558,OK,206.16 | 558 | OK
3.140,206.35,560,OK,206.35 | 560 | OK
3.437,206.38,560,OK,206.38 | 560 | OK
3.734,206.31,560,OK,206.31 | 560 | OK
4.031,206.35,559,OK,206.35 | 559 | OK
4.344,205.94,560,OK,205.94 | 560 | OK
4.640,205.81,561,OK,205.81 | 561 | OK
4.937,206.09,564,OK,206.09 | 564 | OK
5.250,206.34,561,OK,206.34 | 561 | OK
5.547,206.34,561,OK,206.34 | 561 | OK
5.844,206.34,560,OK,206.34 | 560 | OK
6.140,206.38,559,OK,206.38 | 559 | OK
