elapsed_s,amplitude,range,status,raw_line
0.735,320.11,828,OK,320.11 | 828 | OK
1.032,320.27,828,OK,320.27 | 828 | OK
1.344,320.24,830,OK,320.24 | 830 | OK
1.641,320.24,829,OK,320.24 | 829 | OK
1.938,319.91,830,OK,319.91 | 830 | OK
2.235,320.07,833,OK,320.07 | 833 | OK
2.532,320.42,830,OK,320.42 | 830 | OK
2.844,320.28,833,OK,320.28 | 833 | OK
3.141,320.58,830,OK,320.58 | 830 | OK
3.438,320.57,829,OK,320.57 | 829 | OK
3.735,320.5,831,OK,320.50 | 831 | OK
4.047,320.82,834,OK,320.82 | 834 | OK
4.344,320.99,832,OK,320.99 | 832 | OK
4.641,321.05,828,OK,321.05 | 828 | OK
4.938,320.97,831,OK,320.97 | 831 | OK
5.235,320.91,832,OK,320.91 | 832 | OK
