elapsed_s,amplitude,range,status,raw_line
0.735,326.44,841,OK,326.44 | 841 | OK
1.031,326.33,842,OK,326.33 | 842 | OK
1.328,326.62,841,OK,326.62 | 841 | OK
1.641,326.33,840,OK,326.33 | 840 | OK
1.938,325.76,840,OK,325.76 | 840 | OK
2.235,325.54,840,OK,325.54 | 840 | OK
2.531,325.98,840,OK,325.98 | 840 | OK
2.844,326.56,840,OK,326.56 | 840 | OK
3.141,326.39,842,OK,326.39 | 842 | OK
3.438,326.44,842,OK,326.44 | 842 | OK
3.750,326.52,840,OK,326.52 | 840 | OK
4.047,326.11,840,OK,326.11 | 840 | OK
4.344,325.79,841,OK,325.79 | 841 | OK
4.641,325.86,840,OK,325.86 | 840 | OK
4.938,326.38,841,OK,326.38 | 841 | OK
5.250,326.71,839,OK,326.71 | 839 | OK
5.547,326.37,839,OK,326.37 | 839 | OK
5.844,326.53,842,OK,326.53 | 842 | OK
6.141,326.53,841,OK,326.53 | 841 | OK
