elapsed_s,amplitude,range,status,raw_line
0.734,4.23,17,CHECK_WIRING,4.23 | 17 | CHECK_WIRING
1.047,4.3,18,CHECK_WIRING,4.30 | 18 | CHECK_WIRING
1.343,4.27,16,OK,4.27 | 16 | OK
1.640,4.25,20,OK,4.25 | 20 | OK
1.937,4.25,17,OK,4.25 | 17 | OK
2.234,4.22,17,OK,4.22 | 17 | OK
2.547,4.23,16,OK,4.23 | 16 | OK
2.843,4.26,17,OK,4.26 | 17 | OK
3.140,4.29,17,CHECK_WIRING,4.29 | 17 | CHECK_WIRING
3.437,4.27,19,CHECK_WIRING,4.27 | 19 | CHECK_WIRING
3.750,4.28,17,CHECK_WIRING,4.28 | 17 | CHECK_WIRING
4.047,4.24,17,CHECK_WIRING,4.24 | 17 | CHECK_WIRING
4.343,4.3,17,CHECK_WIRING,4.30 | 17 | CHECK_WIRING
4.656,4.3,18,CHECK_WIRING,4.30 | 18 | CHECK_WIRING
4.953,4.29,17,CHECK_WIRING,4.29 | 17 | CHECK_WIRING
5.250,4.26,17,CHECK_WIRING,4.26 | 17 | CHECK_WIRING
