elapsed_s,amplitude,range,status,raw_line
0.734,2.7,11,OK,2.70 | 11 | OK
1.031,2.68,10,OK,2.68 | 10 | OK
1.344,2.71,10,OK,2.71 | 10 | OK
1.641,2.69,11,OK,2.69 | 11 | OK
1.938,2.68,10,OK,2.68 | 10 | OK
2.234,2.7,10,OK,2.70 | 10 | OK
2.547,2.7,10,OK,2.70 | 10 | OK
2.844,2.71,10,OK,2.71 | 10 | OK
3.141,2.69,11,OK,2.69 | 11 | OK
3.438,2.7,10,OK,2.70 | 10 | OK
3.750,2.7,11,OK,2.70 | 11 | OK
4.031,2.69,10,OK,2.69 | 10 | OK
4.344,2.72,10,OK,2.72 | 10 | OK
4.641,2.68,10,OK,2.68 | 10 | OK
4.953,2.69,11,OK,2.69 | 11 | OK
5.250,2.82,13,OK,2.82 | 13 | OK
