elapsed_s,amplitude,range,status,raw_line
0.750,53.56,159,OK,53.56 | 159 | OK
1.047,53.59,159,OK,53.59 | 159 | OK
1.344,53.53,157,OK,53.53 | 157 | OK
1.640,53.43,157,OK,53.43 | 157 | OK
1.937,53.45,160,OK,53.45 | 160 | OK
2.250,53.5,160,OK,53.50 | 160 | OK
2.547,53.45,158,OK,53.45 | 158 | OK
2.844,53.48,163,OK,53.48 | 163 | OK
3.156,53.51,155,OK,53.51 | 155 | OK
3.437,53.54,161,OK,53.54 | 161 | OK
3.750,53.46,160,OK,53.46 | 160 | OK
4.047,53.45,160,OK,53.45 | 160 | OK
4.359,53.47,158,OK,53.47 | 158 | OK
4.656,53.48,158,OK,53.48 | 158 | OK
4.953,53.5,161,OK,53.50 | 161 | OK
5.250,53.54,157,OK,53.54 | 157 | OK
