elapsed_s,amplitude,range,status,raw_line
0.734,299.35,688,OK,299.35 | 688 | OK
1.031,302.86,692,OK,302.86 | 692 | OK
1.344,301.28,689,OK,301.28 | 689 | OK
1.641,301.35,690,OK,301.35 | 690 | OK
1.937,299.53,686,OK,299.53 | 686 | OK
2.234,299.94,687,OK,299.94 | 687 | OK
2.547,300.97,688,OK,300.97 | 688 | OK
2.844,300.21,689,OK,300.21 | 689 | OK
3.141,298.6,683,OK,298.60 | 683 | OK
3.437,300.51,687,OK,300.51 | 687 | OK
3.734,299.94,690,OK,299.94 | 690 | OK
4.047,300.72,691,OK,300.72 | 691 | OK
4.344,299.19,687,OK,299.19 | 687 | OK
4.641,301.33,689,OK,301.33 | 689 | OK
4.937,298.98,685,OK,298.98 | 685 | OK
5.250,299.77,687,OK,299.77 | 687 | OK
5.547,297.89,681,OK,297.89 | 681 | OK
5.844,300.32,692,OK,300.32 | 692 | OK
6.156,301.91,691,OK,301.91 | 691 | OK
6.453,300.87,688,OK,300.87 | 688 | OK
6.750,299.62,685,OK,299.62 | 685 | OK
7.047,298.8,685,OK,298.80 | 685 | OK
7.359,299.88,685,OK,299.88 | 685 | OK
7.656,299.25,686,OK,299.25 | 686 | OK
7.953,299.06,685,OK,299.06 | 685 | OK
8.250,301.17,689,OK,301.17 | 689 | OK
8.562,301.12,690,OK,301.12 | 690 | OK
8.844,300.19,686,OK,300.19 | 686 | OK
9.156,298.25,684,OK,298.25 | 684 | OK
9.453,297.61,683,OK,297.61 | 683 | OK
9.750,299.92,688,OK,299.92 | 688 | OK
10.062,301.6,689,OK,301.60 | 689 | OK
