elapsed_s,amplitude,range,status,raw_line
0.734,119.4,341,OK,119.40 | 341 | OK
1.031,119.54,344,OK,119.54 | 344 | OK
1.328,119.21,349,OK,119.21 | 349 | OK
1.640,116.48,374,OK,116.48 | 374 | OK
1.922,118.49,346,OK,118.49 | 346 | OK
2.234,119.53,342,OK,119.53 | 342 | OK
2.547,119.22,340,OK,119.22 | 340 | OK
2.844,119.48,344,OK,119.48 | 344 | OK
3.140,119.69,340,OK,119.69 | 340 | OK
3.437,119.52,341,OK,119.52 | 341 | OK
3.734,119.6,341,OK,119.60 | 341 | OK
4.047,119.52,342,OK,119.52 | 342 | OK
4.344,119.37,343,OK,119.37 | 343 | OK
4.640,119.47,343,OK,119.47 | 343 | OK
4.937,119.38,338,OK,119.38 | 338 | OK
5.250,119.45,342,OK,119.45 | 342 | OK
