elapsed_s,amplitude,range,status,raw_line
0.735,192.34,542,OK,192.34 | 542 | OK
1.047,192.08,537,OK,192.08 | 537 | OK
1.344,191.82,535,OK,191.82 | 535 | OK
1.641,191.84,532,OK,191.84 | 532 | OK
1.938,191.54,531,OK,191.54 | 531 | OK
2.250,191.22,528,OK,191.22 | 528 | OK
2.547,191.49,532,OK,191.49 | 532 | OK
2.844,191.02,533,OK,191.02 | 533 | OK
3.141,190.88,530,OK,190.88 | 530 | OK
3.438,190.64,535,OK,190.64 | 535 | OK
3.750,190.46,526,OK,190.46 | 526 | OK
4.047,190.68,526,OK,190.68 | 526 | OK
4.344,190.05,535,OK,190.05 | 535 | OK
4.641,189.82,532,OK,189.82 | 532 | OK
4.938,189.35,566,OK,189.35 | 566 | OK
5.250,189.92,543,OK,189.92 | 543 | OK
