elapsed_s,amplitude,range,status,raw_line
0.734,262.5,691,OK,262.50 | 691 | OK
1.031,262.4,696,OK,262.40 | 696 | OK
1.328,262.49,698,OK,262.49 | 698 | OK
1.625,262.42,691,OK,262.42 | 691 | OK
1.937,262.76,700,OK,262.76 | 700 | OK
2.234,264.31,699,OK,264.31 | 699 | OK
2.531,264.25,699,OK,264.25 | 699 | OK
2.844,263.87,700,OK,263.87 | 700 | OK
3.140,262.5,692,OK,262.50 | 692 | OK
3.437,262.37,698,OK,262.37 | 698 | OK
3.734,262.43,692,OK,262.43 | 692 | OK
4.047,262.92,696,OK,262.92 | 696 | OK
4.344,263.22,699,OK,263.22 | 699 | OK
4.640,263.56,694,OK,263.56 | 694 | OK
4.937,263.66,703,OK,263.66 | 703 | OK
5.250,263.8,699,OK,263.80 | 699 | OK
