elapsed_s,amplitude,range,status,raw_line
0.750,249.54,677,OK,249.54 | 677 | OK
1.047,249.41,670,OK,249.41 | 670 | OK
1.344,249.71,677,OK,249.71 | 677 | OK
1.640,249.73,683,OK,249.73 | 683 | OK
1.953,249.88,683,OK,249.88 | 683 | OK
2.250,250.19,687,OK,250.19 | 687 | OK
2.547,249.82,670,OK,249.82 | 670 | OK
2.844,249.95,678,OK,249.95 | 678 | OK
3.156,250.32,715,OK,250.32 | 715 | OK
3.453,249.77,668,OK,249.77 | 668 | OK
3.750,250.14,678,OK,250.14 | 678 | OK
4.047,249.94,674,OK,249.94 | 674 | OK
4.344,249.86,676,OK,249.86 | 676 | OK
4.656,250.17,683,OK,250.17 | 683 | OK
4.953,250.01,666,OK,250.01 | 666 | OK
5.250,250.05,676,OK,250.05 | 676 | OK
