elapsed_s,amplitude,range,status,raw_line
0.750,309.6,713,OK,309.60 | 713 | OK
1.047,309.16,711,OK,309.16 | 711 | OK
1.344,308.44,713,OK,308.44 | 713 | OK
1.641,309.82,712,OK,309.82 | 712 | OK
1.953,309.2,711,OK,309.20 | 711 | OK
2.250,306.41,709,OK,306.41 | 709 | OK
2.547,306.3,706,OK,306.30 | 706 | OK
2.844,306.26,711,OK,306.26 | 711 | OK
3.156,308.96,711,OK,308.96 | 711 | OK
3.453,308.37,710,OK,308.37 | 710 | OK
3.750,308.21,710,OK,308.21 | 710 | OK
4.047,308.51,710,OK,308.51 | 710 | OK
4.344,308.84,711,OK,308.84 | 711 | OK
4.656,308.51,711,OK,308.51 | 711 | OK
4.953,308.25,709,OK,308.25 | 709 | OK
5.250,308.13,709,OK,308.13 | 709 | OK
5.547,307.46,708,OK,307.46 | 708 | OK
5.859,307.51,709,OK,307.51 | 709 | OK
6.156,308.28,710,OK,308.28 | 710 | OK
6.453,307.8,708,OK,307.80 | 708 | OK
6.750,306.81,706,OK,306.81 | 706 | OK
7.062,307.83,708,OK,307.83 | 708 | OK
7.359,307.57,708,OK,307.57 | 708 | OK
7.656,305.59,706,OK,305.59 | 706 | OK
7.953,307.72,708,OK,307.72 | 708 | OK
8.266,307.14,706,OK,307.14 | 706 | OK
8.562,305.15,705,OK,305.15 | 705 | OK
8.859,307.05,715,OK,307.05 | 715 | OK
9.156,310.82,714,OK,310.82 | 714 | OK
9.469,310.71,715,OK,310.71 | 715 | OK
9.766,310.73,713,OK,310.73 | 713 | OK
10.062,310.79,714,OK,310.79 | 714 | OK
