elapsed_s,amplitude,range,status,raw_line
0.734,10.04,42,OK,10.04 | 42 | OK
1.031,10.03,40,OK,10.03 | 40 | OK
1.328,10.01,40,OK,10.01 | 40 | OK
1.641,9.99,39,OK,9.99 | 39 | OK
1.938,10.07,38,OK,10.07 | 38 | OK
2.234,10.1,38,OK,10.10 | 38 | OK
2.531,10.06,41,OK,10.06 | 41 | OK
2.828,10.14,40,OK,10.14 | 40 | OK
3.141,10.04,41,OK,10.04 | 41 | OK
3.438,10.09,40,OK,10.09 | 40 | OK
3.750,10.09,41,OK,10.09 | 41 | OK
4.047,10.12,40,OK,10.12 | 40 | OK
4.344,10.17,40,OK,10.17 | 40 | OK
4.641,10.15,38,OK,10.15 | 38 | OK
4.938,10.2,41,OK,10.20 | 41 | OK
5.250,10.18,38,OK,10.18 | 38 | OK
