elapsed_s,amplitude,range,status,raw_line
0.734,275.27,725,OK,275.27 | 725 | OK
1.047,274.94,731,OK,274.94 | 731 | OK
1.344,274.75,728,OK,274.75 | 728 | OK
1.641,274.83,728,OK,274.83 | 728 | OK
1.937,274.21,729,OK,274.21 | 729 | OK
2.234,274.41,723,OK,274.41 | 723 | OK
2.547,273.9,725,OK,273.90 | 725 | OK
2.844,273.63,733,OK,273.63 | 733 | OK
3.141,275.07,721,OK,275.07 | 721 | OK
3.453,275.69,731,OK,275.69 | 731 | OK
3.750,275.72,731,OK,275.72 | 731 | OK
4.047,274.8,724,OK,274.80 | 724 | OK
4.344,275.76,734,OK,275.76 | 734 | OK
4.656,276.37,733,OK,276.37 | 733 | OK
4.953,276.26,728,OK,276.26 | 728 | OK
5.250,276.21,738,OK,276.21 | 738 | OK
