elapsed_s,amplitude,range,status,raw_line
0.734,216.42,589,OK,216.42 | 589 | OK
1.031,216.62,589,OK,216.62 | 589 | OK
1.343,217.13,594,OK,217.13 | 594 | OK
1.640,216.88,589,OK,216.88 | 589 | OK
1.937,216.75,590,OK,216.75 | 590 | OK
2.234,216.66,590,OK,216.66 | 590 | OK
2.546,217.16,593,OK,217.16 | 593 | OK
2.828,217.35,591,OK,217.35 | 591 | OK
3.140,217.19,591,OK,217.19 | 591 | OK
3.453,216.99,592,OK,216.99 | 592 | OK
3.750,216.77,590,OK,216.77 | 590 | OK
4.046,217.29,591,OK,217.29 | 591 | OK
4.343,217.31,594,OK,217.31 | 594 | OK
4.640,217.09,592,OK,217.09 | 592 | OK
4.953,217.07,587,OK,217.07 | 587 | OK
5.250,217.01,592,OK,217.01 | 592 | OK
