elapsed_s,amplitude,range,status,raw_line
0.750,332.16,770,OK,332.16 | 770 | OK
1.047,332.24,771,OK,332.24 | 771 | OK
1.343,332.26,772,OK,332.26 | 772 | OK
1.640,332.14,772,OK,332.14 | 772 | OK
1.937,332.18,771,OK,332.18 | 771 | OK
2.250,332.26,772,OK,332.26 | 772 | OK
2.547,332.26,772,OK,332.26 | 772 | OK
2.843,332.2,771,OK,332.20 | 771 | OK
3.140,332.28,772,OK,332.28 | 772 | OK
3.453,332.17,770,OK,332.17 | 770 | OK
3.750,332.16,774,OK,332.16 | 774 | OK
4.047,332.15,771,OK,332.15 | 771 | OK
4.343,332.04,770,OK,332.04 | 770 | OK
4.656,332.04,772,OK,332.04 | 772 | OK
4.953,331.97,772,OK,331.97 | 772 | OK
5.250,332.07,770,OK,332.07 | 770 | OK
5.547,332.07,771,OK,332.07 | 771 | OK
5.859,332.07,770,OK,332.07 | 770 | OK
6.156,332.11,772,OK,332.11 | 772 | OK
6.453,332.14,771,OK,332.14 | 771 | OK
6.750,332.17,772,OK,332.17 | 772 | OK
7.062,332.22,772,OK,332.22 | 772 | OK
7.343,332.2,772,OK,332.20 | 772 | OK
7.656,332.19,773,OK,332.19 | 773 | OK
7.953,332.07,771,OK,332.07 | 771 | OK
8.265,331.43,770,OK,331.43 | 770 | OK
8.562,330.94,768,OK,330.94 | 768 | OK
8.859,328.59,767,OK,328.59 | 767 | OK
9.156,328.75,764,OK,328.75 | 764 | OK
9.468,328.94,763,OK,328.94 | 763 | OK
9.765,329.13,764,OK,329.13 | 764 | OK
10.062,329.2,765,OK,329.20 | 765 | OK
