elapsed_s,amplitude,range,status,raw_line
0.719,266.75,711,OK,266.75 | 711 | OK
1.031,266.48,712,OK,266.48 | 712 | OK
1.328,266.3,712,OK,266.30 | 712 | OK
1.625,266.44,710,OK,266.44 | 710 | OK
1.922,266.42,712,OK,266.42 | 712 | OK
2.219,266.42,713,OK,266.42 | 713 | OK
2.531,266.52,709,OK,266.52 | 709 | OK
2.828,267.08,715,OK,267.08 | 715 | OK
3.125,266.4,715,OK,266.40 | 715 | OK
3.437,266.5,711,OK,266.50 | 711 | OK
3.734,266.7,711,OK,266.70 | 711 | OK
4.031,266.62,714,OK,266.62 | 714 | OK
4.344,266.56,711,OK,266.56 | 711 | OK
4.641,266.36,711,OK,266.36 | 711 | OK
4.937,266.33,712,OK,266.33 | 712 | OK
5.234,266.68,712,OK,266.68 | 712 | OK
