elapsed_s,amplitude,range,status,raw_line
0.734,361.69,791,OK,361.69 | 791 | OK
1.031,361.63,792,OK,361.63 | 792 | OK
1.344,361.61,791,OK,361.61 | 791 | OK
1.641,361.62,790,OK,361.62 | 790 | OK
1.938,361.59,791,OK,361.59 | 791 | OK
2.250,361.64,791,OK,361.64 | 791 | OK
2.547,361.68,791,OK,361.68 | 791 | OK
2.844,361.68,791,OK,361.68 | 791 | OK
3.141,361.6,791,OK,361.60 | 791 | OK
3.453,361.5,791,OK,361.50 | 791 | OK
3.750,361.28,790,OK,361.28 | 790 | OK
4.047,361.36,790,OK,361.36 | 790 | OK
4.344,361.22,790,OK,361.22 | 790 | OK
4.656,361.02,789,OK,361.02 | 789 | OK
4.953,361.2,790,OK,361.20 | 790 | OK
5.250,361.48,790,OK,361.48 | 790 | OK
5.547,361.39,790,OK,361.39 | 790 | OK
5.859,361.44,790,OK,361.44 | 790 | OK
6.141,361.39,790,OK,361.39 | 790 | OK
6.453,361.11,789,OK,361.11 | 789 | OK
6.750,361.15,791,OK,361.15 | 791 | OK
7.063,360.99,790,OK,360.99 | 790 | OK
7.359,360.85,790,OK,360.85 | 790 | OK
7.656,360.81,789,OK,360.81 | 789 | OK
7.953,360.71,788,OK,360.71 | 788 | OK
8.266,360.62,789,OK,360.62 | 789 | OK
8.563,360.59,789,OK,360.59 | 789 | OK
8.859,360.52,789,OK,360.52 | 789 | OK
9.156,360.44,789,OK,360.44 | 789 | OK
9.469,360.37,789,OK,360.37 | 789 | OK
9.750,360.24,788,OK,360.24 | 788 | OK
10.063,360.26,787,OK,360.26 | 787 | OK
