elapsed_s,amplitude,range,status,raw_line
0.734,13.93,46,OK,13.93 | 46 | OK
1.031,13.95,47,OK,13.95 | 47 | OK
1.344,13.93,47,OK,13.93 | 47 | OK
1.641,13.98,46,OK,13.98 | 46 | OK
1.937,13.97,49,OK,13.97 | 49 | OK
2.234,13.95,48,OK,13.95 | 48 | OK
2.547,13.91,48,OK,13.91 | 48 | OK
2.844,13.9,47,OK,13.90 | 47 | OK
3.141,13.88,47,OK,13.88 | 47 | OK
3.437,13.91,46,OK,13.91 | 46 | OK
3.750,14.01,50,OK,14.01 | 50 | OK
4.047,13.88,45,OK,13.88 | 45 | OK
4.344,13.98,48,OK,13.98 | 48 | OK
4.641,13.96,50,OK,13.96 | 50 | OK
4.937,13.97,48,OK,13.97 | 48 | OK
5.234,13.95,47,OK,13.95 | 47 | OK
