elapsed_s,amplitude,range,status,raw_line
0.734,27.02,91,OK,27.02 | 91 | OK
1.031,27.12,92,OK,27.12 | 92 | OK
1.328,27.11,90,OK,27.11 | 90 | OK
1.625,27.11,92,OK,27.11 | 92 | OK
1.937,27.08,93,OK,27.08 | 93 | OK
2.234,27.05,91,OK,27.05 | 91 | OK
2.531,27.09,91,OK,27.09 | 91 | OK
2.843,27.11,91,OK,27.11 | 91 | OK
3.140,27.15,91,OK,27.15 | 91 | OK
3.437,27.07,89,OK,27.07 | 89 | OK
3.734,27.12,90,OK,27.12 | 90 | OK
4.031,27.09,91,OK,27.09 | 91 | OK
4.343,27.05,90,OK,27.05 | 90 | OK
4.640,27.14,93,OK,27.14 | 93 | OK
4.937,27.11,91,OK,27.11 | 91 | OK
5.234,27.04,90,OK,27.04 | 90 | OK
