elapsed_s,amplitude,range,status,raw_line
0.719,172.76,495,OK,172.76 | 495 | OK
1.031,174.47,502,OK,174.47 | 502 | OK
1.328,175.11,497,OK,175.11 | 497 | OK
1.625,174.84,504,OK,174.84 | 504 | OK
1.937,174.33,500,OK,174.33 | 500 | OK
2.234,175.59,510,OK,175.59 | 510 | OK
2.531,174.88,498,OK,174.88 | 498 | OK
2.828,175.14,495,OK,175.14 | 495 | OK
3.140,174.92,495,OK,174.92 | 495 | OK
3.437,175.44,497,OK,175.44 | 497 | OK
3.734,175.27,498,OK,175.27 | 498 | OK
4.031,175.39,497,OK,175.39 | 497 | OK
4.328,175.59,494,OK,175.59 | 494 | OK
4.640,175.72,500,OK,175.72 | 500 | OK
4.937,175.48,500,OK,175.48 | 500 | OK
5.234,175.65,499,OK,175.65 | 499 | OK
