elapsed_s,amplitude,range,status,raw_line
0.719,215.93,578,OK,215.93 | 578 | OK
1.031,216.22,592,OK,216.22 | 592 | OK
1.328,216.15,592,OK,216.15 | 592 | OK
1.625,216.14,584,OK,216.14 | 584 | OK
1.922,216.22,592,OK,216.22 | 592 | OK
2.234,216.19,589,OK,216.19 | 589 | OK
2.531,216.07,582,OK,216.07 | 582 | OK
2.828,216.41,594,OK,216.41 | 594 | OK
3.140,216.28,585,OK,216.28 | 585 | OK
3.437,216.21,583,OK,216.21 | 583 | OK
3.734,216.49,609,OK,216.49 | 609 | OK
4.031,216.25,586,OK,216.25 | 586 | OK
4.328,216.13,585,OK,216.13 | 585 | OK
4.640,216.2,592,OK,216.20 | 592 | OK
4.937,216.03,580,OK,216.03 | 580 | OK
5.234,216.23,588,OK,216.23 | 588 | OK
