elapsed_s,amplitude,range,status,raw_line
0.734,1.36,6,OK,1.36 | 6 | OK
1.031,1.36,6,OK,1.36 | 6 | OK
1.343,1.34,6,OK,1.34 | 6 | OK
1.640,1.31,6,OK,1.31 | 6 | OK
1.937,1.33,7,OK,1.33 | 7 | OK
2.234,1.32,6,OK,1.32 | 6 | OK
2.531,1.35,6,OK,1.35 | 6 | OK
2.843,1.33,6,OK,1.33 | 6 | OK
3.140,1.34,6,OK,1.34 | 6 | OK
3.437,1.32,6,OK,1.32 | 6 | OK
3.734,1.36,6,OK,1.36 | 6 | OK
4.031,1.34,6,OK,1.34 | 6 | OK
4.343,1.35,6,OK,1.35 | 6 | OK
4.640,1.37,6,OK,1.37 | 6 | OK
4.937,1.38,7,OK,1.38 | 7 | OK
5.234,1.33,6,OK,1.33 | 6 | OK
