elapsed_s,amplitude,range,status,raw_line
0.734,343.71,761,OK,343.71 | 761 | OK
1.031,343.68,761,OK,343.68 | 761 | OK
1.344,343.76,760,OK,343.76 | 760 | OK
1.641,343.73,760,OK,343.73 | 760 | OK
1.938,343.82,763,OK,343.82 | 763 | OK
2.234,343.74,761,OK,343.74 | 761 | OK
2.531,343.78,760,OK,343.78 | 760 | OK
2.844,343.84,761,OK,343.84 | 761 | OK
3.141,343.91,761,OK,343.91 | 761 | OK
3.438,343.89,759,OK,343.89 | 759 | OK
3.734,343.92,760,OK,343.92 | 760 | OK
4.047,343.91,761,OK,343.91 | 761 | OK
4.344,343.96,760,OK,343.96 | 760 | OK
4.641,344,761,OK,344.00 | 761 | OK
4.938,343.97,761,OK,343.97 | 761 | OK
5.250,344.03,760,OK,344.03 | 760 | OK
5.547,344.03,760,OK,344.03 | 760 | OK
5.844,344,761,OK,344.00 | 761 | OK
6.141,344.08,760,OK,344.08 | 760 | OK
6.453,344.04,761,OK,344.04 | 761 | OK
6.750,344.05,762,OK,344.05 | 762 | OK
7.047,344.15,761,OK,344.15 | 761 | OK
7.344,344.01,762,OK,344.01 | 762 | OK
7.656,344.15,763,OK,344.15 | 763 | OK
7.953,344.1,761,OK,344.10 | 761 | OK
8.250,344.1,761,OK,344.10 | 761 | OK
8.547,344.23,761,OK,344.23 | 761 | OK
8.844,344.08,762,OK,344.08 | 762 | OK
9.156,344.15,761,OK,344.15 | 761 | OK
9.453,344.16,765,OK,344.16 | 765 | OK
9.750,344.23,763,OK,344.23 | 763 | OK
10.063,344.17,761,OK,344.17 | 761 | OK
