elapsed_s,amplitude,range,status,raw_line
0.750,11.44,43,OK,11.44 | 43 | OK
1.047,11.4,41,OK,11.40 | 41 | OK
1.344,11.34,41,OK,11.34 | 41 | OK
1.641,11.32,40,OK,11.32 | 40 | OK
1.938,11.36,40,OK,11.36 | 40 | OK
2.250,11.34,41,OK,11.34 | 41 | OK
2.547,11.91,63,OK,11.91 | 63 | OK
2.844,12.52,59,OK,12.52 | 59 | OK
3.141,11.55,47,OK,11.55 | 47 | OK
3.453,11.37,43,OK,11.37 | 43 | OK
3.750,11.34,42,OK,11.34 | 42 | OK
4.047,11.41,43,OK,11.41 | 43 | OK
4.344,11.33,42,OK,11.33 | 42 | OK
4.656,11.35,41,OK,11.35 | 41 | OK
4.953,11.27,40,OK,11.27 | 40 | OK
5.250,11.33,41,OK,11.33 | 41 | OK
5.547,11.36,43,OK,11.36 | 43 | OK
5.859,11.34,41,OK,11.34 | 41 | OK
6.156,11.35,41,OK,11.35 | 41 | OK
6.453,11.29,41,OK,11.29 | 41 | OK
6.750,11.34,41,OK,11.34 | 41 | OK
7.047,11.28,42,OK,11.28 | 42 | OK
7.344,11.34,40,OK,11.34 | 40 | OK
7.656,11.28,41,OK,11.28 | 41 | OK
7.953,11.29,42,OK,11.29 | 42 | OK
8.266,11.28,42,OK,11.28 | 42 | OK
8.563,11.25,40,OK,11.25 | 40 | OK
8.859,11.25,40,OK,11.25 | 40 | OK
9.156,11.32,42,OK,11.32 | 42 | OK
9.453,11.26,40,OK,11.26 | 40 | OK
9.766,11.28,40,OK,11.28 | 40 | OK
10.063,11.31,40,OK,11.31 | 40 | OK
