elapsed_s,amplitude,range,status,raw_line
0.734,263.89,703,OK,263.89 | 703 | OK
1.031,264.36,699,OK,264.36 | 699 | OK
1.344,264.39,702,OK,264.39 | 702 | OK
1.640,264.55,701,OK,264.55 | 701 | OK
1.937,264.63,702,OK,264.63 | 702 | OK
2.234,264.26,702,OK,264.26 | 702 | OK
2.531,263.84,701,OK,263.84 | 701 | OK
2.844,263.89,701,OK,263.89 | 701 | OK
3.140,264.36,703,OK,264.36 | 703 | OK
3.437,264.45,703,OK,264.45 | 703 | OK
3.750,264.36,703,OK,264.36 | 703 | OK
4.047,264.48,701,OK,264.48 | 701 | OK
4.344,264.41,700,OK,264.41 | 700 | OK
4.640,263.93,703,OK,263.93 | 703 | OK
4.953,263.75,701,OK,263.75 | 701 | OK
5.250,264.06,701,OK,264.06 | 701 | OK
5.547,264.5,702,OK,264.50 | 702 | OK
5.844,264.73,704,OK,264.73 | 704 | OK
6.140,264.43,699,OK,264.43 | 699 | OK
