elapsed_s,amplitude,range,status,raw_line
0.735,358.04,782,OK,358.04 | 782 | OK
1.047,357.9,782,OK,357.90 | 782 | OK
1.344,357.77,782,OK,357.77 | 782 | OK
1.641,357.77,782,OK,357.77 | 782 | OK
1.938,357.59,782,OK,357.59 | 782 | OK
2.250,357.47,782,OK,357.47 | 782 | OK
2.547,357.32,781,OK,357.32 | 781 | OK
2.844,357.28,781,OK,357.28 | 781 | OK
3.141,357.12,781,OK,357.12 | 781 | OK
3.453,356.64,780,OK,356.64 | 780 | OK
3.750,358.14,783,OK,358.14 | 783 | OK
4.047,358.12,784,OK,358.12 | 784 | OK
4.344,358.02,783,OK,358.02 | 783 | OK
4.657,358,783,OK,358.00 | 783 | OK
4.953,357.96,784,OK,357.96 | 784 | OK
5.250,357.95,783,OK,357.95 | 783 | OK
5.547,357.9,782,OK,357.90 | 782 | OK
5.860,357.76,781,OK,357.76 | 781 | OK
6.157,357.69,782,OK,357.69 | 782 | OK
6.453,357.67,782,OK,357.67 | 782 | OK
6.750,357.62,781,OK,357.62 | 781 | OK
7.063,357.59,782,OK,357.59 | 782 | OK
7.360,357.58,781,OK,357.58 | 781 | OK
7.657,357.66,782,OK,357.66 | 782 | OK
7.953,357.94,783,OK,357.94 | 783 | OK
8.266,358.03,783,OK,358.03 | 783 | OK
8.563,358.09,783,OK,358.09 | 783 | OK
8.860,358.02,783,OK,358.02 | 783 | OK
9.157,358.05,783,OK,358.05 | 783 | OK
9.453,357.97,783,OK,357.97 | 783 | OK
9.766,358.01,783,OK,358.01 | 783 | OK
10.063,358.01,783,OK,358.01 | 783 | OK
