elapsed_s,amplitude,range,status,raw_line
0.734,337.39,747,OK,337.39 | 747 | OK
1.031,336.63,745,OK,336.63 | 745 | OK
1.328,335.92,743,OK,335.92 | 743 | OK
1.625,335.65,743,OK,335.65 | 743 | OK
1.937,335.65,741,OK,335.65 | 741 | OK
2.234,335.44,742,OK,335.44 | 742 | OK
2.531,335.35,741,OK,335.35 | 741 | OK
2.828,335.32,744,OK,335.32 | 744 | OK
3.140,335.73,744,OK,335.73 | 744 | OK
3.437,335.27,742,OK,335.27 | 742 | OK
3.734,335.47,742,OK,335.47 | 742 | OK
4.031,335.65,742,OK,335.65 | 742 | OK
4.328,335.69,742,OK,335.69 | 742 | OK
4.640,335.95,746,OK,335.95 | 746 | OK
4.937,336.74,744,OK,336.74 | 744 | OK
5.234,336.6,744,OK,336.60 | 744 | OK
5.547,336.45,743,OK,336.45 | 743 | OK
5.843,336.48,744,OK,336.48 | 744 | OK
6.140,336.34,743,OK,336.34 | 743 | OK
6.437,336.3,744,OK,336.30 | 744 | OK
6.750,336.21,744,OK,336.21 | 744 | OK
7.047,336.17,743,OK,336.17 | 743 | OK
7.343,336.13,743,OK,336.13 | 743 | OK
7.640,335.86,742,OK,335.86 | 742 | OK
7.937,335.79,743,OK,335.79 | 743 | OK
8.250,335.59,741,OK,335.59 | 741 | OK
8.547,335.19,741,OK,335.19 | 741 | OK
8.843,324.25,723,OK,324.25 | 723 | OK
9.156,324.51,724,OK,324.51 | 724 | OK
9.453,324.07,722,OK,324.07 | 722 | OK
9.750,333.69,742,OK,333.69 | 742 | OK
10.047,334.69,740,OK,334.69 | 740 | OK
