elapsed_s,amplitude,range,status,raw_line
0.734,230.14,623,OK,230.14 | 623 | OK
1.031,230.24,623,OK,230.24 | 623 | OK
1.328,230.35,621,OK,230.35 | 621 | OK
1.641,230.87,626,OK,230.87 | 626 | OK
1.937,230.85,621,OK,230.85 | 621 | OK
2.234,230.82,622,OK,230.82 | 622 | OK
2.531,230.97,622,OK,230.97 | 622 | OK
2.828,230.87,620,OK,230.87 | 620 | OK
3.141,230.64,621,OK,230.64 | 621 | OK
3.437,230.25,619,OK,230.25 | 619 | OK
3.734,230.39,619,OK,230.39 | 619 | OK
4.047,231.03,617,OK,231.03 | 617 | OK
4.344,230.81,624,OK,230.81 | 624 | OK
4.641,230.73,623,OK,230.73 | 623 | OK
4.937,231.12,620,OK,231.12 | 620 | OK
5.234,230.52,623,OK,230.52 | 623 | OK
5.547,230.36,620,OK,230.36 | 620 | OK
5.844,230.25,617,OK,230.25 | 617 | OK
6.141,230.64,620,OK,230.64 | 620 | OK
