elapsed_s,amplitude,range,status,raw_line
0.735,71.69,207,OK,71.69 | 207 | OK
1.031,72.12,207,OK,72.12 | 207 | OK
1.344,72.15,207,OK,72.15 | 207 | OK
1.641,72.09,211,OK,72.09 | 211 | OK
1.938,71.77,211,OK,71.77 | 211 | OK
2.235,71.58,213,OK,71.58 | 213 | OK
2.531,71.52,209,OK,71.52 | 209 | OK
2.844,71.55,209,OK,71.55 | 209 | OK
3.141,71.92,204,OK,71.92 | 204 | OK
3.438,71.99,207,OK,71.99 | 207 | OK
3.750,71.78,209,OK,71.78 | 209 | OK
4.047,71.6,207,OK,71.60 | 207 | OK
4.344,71.6,209,OK,71.60 | 209 | OK
4.641,71.71,209,OK,71.71 | 209 | OK
4.938,71.95,207,OK,71.95 | 207 | OK
5.250,71.74,208,OK,71.74 | 208 | OK
