elapsed_s,amplitude,range,status,raw_line
0.734,46.85,147,OK,46.85 | 147 | OK
1.031,46.8,141,OK,46.80 | 141 | OK
1.344,46.85,142,OK,46.85 | 142 | OK
1.641,46.82,142,OK,46.82 | 142 | OK
1.938,46.83,141,OK,46.83 | 141 | OK
2.234,46.74,142,OK,46.74 | 142 | OK
2.547,46.74,143,OK,46.74 | 143 | OK
2.844,46.89,153,OK,46.89 | 153 | OK
3.141,46.82,147,OK,46.82 | 147 | OK
3.438,46.84,144,OK,46.84 | 144 | OK
3.734,46.77,142,OK,46.77 | 142 | OK
4.047,46.76,142,OK,46.76 | 142 | OK
4.344,46.84,143,OK,46.84 | 143 | OK
4.641,46.72,142,OK,46.72 | 142 | OK
4.953,46.63,140,OK,46.63 | 140 | OK
5.250,46.67,141,OK,46.67 | 141 | OK
5.547,46.66,140,OK,46.66 | 140 | OK
5.844,46.86,141,OK,46.86 | 141 | OK
6.141,46.86,142,OK,46.86 | 142 | OK
