elapsed_s,amplitude,range,status,raw_line
0.735,246.66,663,OK,246.66 | 663 | OK
1.032,246.97,668,OK,246.97 | 668 | OK
1.329,246.89,666,OK,246.89 | 666 | OK
1.641,246.79,665,OK,246.79 | 665 | OK
1.938,246.94,665,OK,246.94 | 665 | OK
2.235,247.08,666,OK,247.08 | 666 | OK
2.532,246.86,666,OK,246.86 | 666 | OK
2.829,246.94,665,OK,246.94 | 665 | OK
3.141,247.28,665,OK,247.28 | 665 | OK
3.438,247.33,677,OK,247.33 | 677 | OK
3.735,247.38,672,OK,247.38 | 672 | OK
4.047,247.39,667,OK,247.39 | 667 | OK
4.329,247.25,668,OK,247.25 | 668 | OK
4.641,247.35,664,OK,247.35 | 664 | OK
4.938,247.28,670,OK,247.28 | 670 | OK
5.235,247.28,670,OK,247.28 | 670 | OK
