elapsed_s,amplitude,range,status,raw_line
0.734,105.97,301,OK,105.97 | 301 | OK
1.031,105.99,301,OK,105.99 | 301 | OK
1.328,105.99,301,OK,105.99 | 301 | OK
1.641,106.09,304,OK,106.09 | 304 | OK
1.937,106.13,302,OK,106.13 | 302 | OK
2.234,105.99,294,OK,105.99 | 294 | OK
2.547,106.03,303,OK,106.03 | 303 | OK
2.844,106.04,304,OK,106.04 | 304 | OK
3.141,106.06,295,OK,106.06 | 295 | OK
3.437,105.98,300,OK,105.98 | 300 | OK
3.734,106.07,305,OK,106.07 | 305 | OK
4.047,106.03,299,OK,106.03 | 299 | OK
4.344,106.02,297,OK,106.02 | 297 | OK
4.641,105.92,304,OK,105.92 | 304 | OK
4.937,106.05,303,OK,106.05 | 303 | OK
5.250,106.22,297,OK,106.22 | 297 | OK
